Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
LER 11-006-00 for Cooper Nuclear Station re: Loss of Safety Function and Past Inoperability of Service Water Strainers.,ML11321A222,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),11/28/2011 08:29 AM EST,11/14/2011,05000298,"Letter,Licensee Event Report (LER)",404.24 Kb
"LER 11-007-00, for Cooper Nuclear Station, Regarding Primary Containment Lost Safety Function Due to Open Drywell Vacuum Breaker.",ML12024A321,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),02/01/2012 08:53 AM EST,01/12/2012,05000298,"Letter,Licensee Event Report (LER)",318.2 Kb
LER 12-001-00 for Cooper Nuclear Station Regarding Prohibited Condition Due to Fuse Size of Battery Charger.,ML12131A438,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),05/18/2012 08:21 AM EDT,05/07/2012,05000298,"Letter,Licensee Event Report (LER)",253.05 Kb
"LER 12-002-00 for Cooper Nuclear Station, Regarding Improper Rotor Installation Causes Failure of Diesel Generator to Start.",ML12164A400,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),06/20/2012 08:38 AM EDT,06/07/2012,05000298,"Letter,Licensee Event Report (LER)",311.36 Kb
LER 12-003-00 for Cooper Regarding Reactor Building Doors Opened Simultaneously Causes Loss of Safety Function.,ML12312A063,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),11/16/2012 09:03 AM EST,11/01/2012,05000298,"Letter,Licensee Event Report (LER)",257.25 Kb
LER 12-004-00 for Cooper Nuclear Station Regarding Isolation of Shutdown Cooling Results in Loss of Safety Function.,ML12348A032,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),12/21/2012 08:58 AM EST,12/06/2012,05000298,"Letter,Licensee Event Report (LER)",254.77 Kb
LER 12-005-00 for Cooper Regarding Prohibited Condition for Service Water Booster Pump Leak.,ML12354A055,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),12/28/2012 08:45 AM EST,12/12/2012,05000298,"Letter,Licensee Event Report (LER)",302.54 Kb
"LER 12-006-00 for Cooper Nuclear Station, ""Missing Vent Plug Results in Technical Specifications Prohibited Condition.""",ML13008A180,"NRC/Document Control Desk,NRC/NRR",,O'Grady B J,Nebraska Public Power District (NPPD),01/16/2013 08:51 AM EST,01/04/2013,05000298,"Letter,Licensee Event Report (LER)",299.67 Kb
"Cooper, Special Report, Offgas Treatment System Charcoal Adsorbers Out of Service.",ML13037A084,NRC/NRR,,Limpias O A,Nebraska Public Power District (NPPD),02/14/2013 09:07 AM EST,01/29/2013,05000298,"Letter,Licensee Event Report (LER)",56.8 Kb
"E-mail from Micheal Mulligan to R.Guzman, ""Pilgrim Evacuation Plan Broken During Blizzard Nemo And Unenforced By The NRC.""",ML13149A172,NRC/NRR/DORL/LPLI-1,Guzman R V,Mulligan M,- No Known Affiliation,05/31/2013 11:26 AM EDT,05/26/2013,"05000293,05000298","E-Mail,Licensee Event Report (LER)",122.96 Kb
"LER 13-001-00 for Cooper, Regarding Unfused Direct Current Ammeter Circuits Result in Unanalyzed Condition.",ML13361A084,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),01/07/2014 08:26 AM EST,12/20/2013,05000298,"Letter,Licensee Event Report (LER)",238.92 Kb
LER 14-001-00 for Cooper Regarding Secondary Containment Declared Inoperable due to Rise in Differential Pressure.,ML14070A363,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),03/19/2014 08:35 AM EDT,03/06/2014,05000298,"Letter,Licensee Event Report (LER)",322.18 Kb
LER 14-002-00 for Cooper Regarding Jacket Water Leak into Emergency Diesel Generator Engine Results in Condition Prohibited by Technical Specifications and Loss of Safety Function.,ML14105A017,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),04/23/2014 08:31 AM EDT,04/11/2014,05000298,"Letter,Licensee Event Report (LER)",234.82 Kb
"LER 14-003-00 for Cooper Nuclear Station, Regarding Valve Linkage Pin Out of Position Causes Condition Prohibited by Technical Specifications.",ML14182A090,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),07/07/2014 09:00 AM EDT,06/26/2014,05000298,"Letter,Licensee Event Report (LER)",287.64 Kb
"LER 14-004-00 for Cooper Regarding Implementation of Enforcement Guidance Memorandum 11-003, Revision 2, Causes Conditions Prohibited by Technical Specifications.",ML14335A605,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),12/09/2014 07:24 AM EST,11/24/2014,05000298,"Letter,Licensee Event Report (LER)",234.31 Kb
"LER 14-005-00 from Cooper, Regarding Lube Oil Leak Results in a Potential Condition Prohibited by Technical Specifications and a Potential Loss of Safety Function.",ML14350A214,"NRC/Document Control Desk,NRC/NRR",,Limpias O A,Nebraska Public Power District (NPPD),12/24/2014 09:34 AM EST,12/10/2014,05000298,"Letter,Licensee Event Report (LER)",218 Kb
