Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 10-005-02 for South Texas, Unit 2 Regarding Startup Feed Pump 24 Breaker Failure and Unit 2 Reactor Trip.",ML11195A021,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,7/7/11,5000499,"Letter,Licensee Event Report (LER)",LER 10-005-02,367.79 Kb
"LER 13-003-00 for South Texas, Unit 1, Regarding Unanalyzed Condition - Direct Current Ammeter Circuits without Overcurrent Protection.",ML14015A310,"NRC/Document Control Desk,NRC/NRR",,Meier M,South Texas Project Nuclear Operating Co,12/23/13,"500,049,805,000,499","Letter,Licensee Event Report (LER)",LER 13-003-00,354.45 Kb
"LER 10-005-01, For South Texas Project Unit 2, regarding Startup Feed Pump 24 Breaker Failure and Unit 2 Reactor Trip.",ML111010019,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,4/4/11,5000499,"Letter,Licensee Event Report (LER)",LER 10-005-01,333.18 Kb
"LER 10-005-00 for South Texas Project, Unit 2, Regarding Startup Feed Pump 24 Breaker Failure and Unit 2 Reactor Trip.",ML110070064,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,1/3/11,5000499,"Letter,Licensee Event Report (LER)",LER 10-005-00,316.75 Kb
"LER 11-001-00, for South Texas, Unit 2, Regarding Exceeding ESF Bus Voltage Technical Specification Surveillance Acceptance Criteria.",ML11255A193,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,9/6/11,5000499,"Letter,Licensee Event Report (LER)",LER 11-001-00,314.92 Kb
"LER 10-006-00 for South Texas, Unit 2 Regarding Technical Specifications Not Met For Reactor Coolant System Unidentified Leakage.",ML110250262,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,1/18/11,5000499,"Letter,Licensee Event Report (LER)",LER 10-006-00,309.35 Kb
"LER 14-001-00 for South Texas, Unit 2 - Standby Diesel Generator 23 Essential Cooling Water Leak through the Wall of Aluminum-Bronze Pipe Nipple.",ML14086A388,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,3/17/14,5000499,"Letter,Licensee Event Report (LER)",LER 14-001-00,297.87 Kb
"LER 13-004-01 for South Texas Unit 2, Regarding Actuation of Main Steam Isolation Valves that was Not Part of a Preplanned Sequence During Testing or Reactor Operator.",ML14118A038,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,3/20/14,5000499,"Letter,Licensee Event Report (LER)",LER 13-004-01,295.48 Kb
"LER 13-001-00 for South Texas, Unit 2 Regarding Manual Reactor Trip Due to Dropped Rods M8 and D8.",ML130720684,"NRC/Document Control Desk,NRC/NRR",,Koehl D L,South Texas Project Nuclear Operating Co,2/28/13,5000499,"Letter,Licensee Event Report (LER)",LER 13-001-00,289.27 Kb
"LER-13-004-00 for South Texes Project, Unit 2 Regarding Manual Actuation of Main Steam Isolation Valves that was Not Part of a Preplanned Sequence During Testing or Reactor Operation.",ML14069A175,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,2/18/14,5000499,"Letter,Licensee Event Report (LER)",LER-13-004-00,269.36 Kb
