Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 12-001-01, for Palo Verde, Unit 3 Regarding Unit 3 Manual Reactor trip During Low Power Physics Testing.",ML12299A288,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,10/23/2012,05000530,"Letter,Licensee Event Report (LER)",LER 12-001-01,350.88 Kb
"LER 10-001-00 for Palo Verde, Unit 3, Regarding Remote Shutdown Panel Pressurizer Auxiliary Spray Valve - Condition Prohibited by Technical Specifications.",ML103490139,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,12/06/2010,05000530,"Letter,Licensee Event Report (LER)",LER 10-001-00,337.97 Kb
"LER 12-001-00 for Palo Verde, Unit 3 Regarding Unit 3 Manual Reactor Trip During Low Power Physics Testing.",ML12179A217,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,06/14/2012,05000530,"Letter,Licensee Event Report (LER)",LER 12-001-00,334.88 Kb
"LER 10-002-00, Palo Verde, Unit 3 re: Condition Prohibited by Technical Specification Resulting from Containment Spray Nozzle Obstruction.",ML103550380,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,12/13/2010,05000530,"Letter,Licensee Event Report (LER)",,321.95 Kb
"LER 11-001-00, for Palo Verde, Unit 3, Regarding  Reactor Trip Due to Failed Open main Feedwater Pump a Minimum Flow Recirculation Valve.",ML110900061,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,03/21/2011,05000530,"Letter,Licensee Event Report (LER)",LER 11-001-00,311.24 Kb
"LER 11-001-01 for Palo Verde Nuclear Generating Station, Units 1 and 3, Regarding Emergency Diesel Generator Actuation on Loss of Offsite Power to Class 4.16kV Bus.",ML12228A389,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,08/03/2012,"05000528,05000530","Letter,Licensee Event Report (LER)",LER 11-001-01,304.86 Kb
"LER 10-002-00 for Palo Verde, Units 1, 2, and 3, Regarding Main Steam Isolation Bypass Valve Calculation Error Resulting in Operation Prohibited by Tech Spec.",ML101970062,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,07/06/2010,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 10-002-00,284.91 Kb
"LER 11-001-00, for Palo Verde, Unit 1, Regarding Unit 1 and Unit 3 Emergency Diesel Generator Actuation on Loss of Offsite Power to Class 4.16kV Bus.",ML111250578,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,04/22/2011,"05000528,05000530","Letter,Licensee Event Report (LER)",LER 11-001-00,280.05 Kb
LER 11-003-01 for Palo Verde Nuclear Generating Station (PVNGS) Unit 1 Regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.,ML12072A117,"NRC/Document Control Desk,NRC/NRR",,Weber T N,Arizona Public Service Co,02/24/2012,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 11-003-01,136.49 Kb
"LER 12-001-00 for Palo Verde, Unit 3, Regarding Manual Reactor Trip During Low Power Physics Testing.",ML12193A089,"NRC/Document Control Desk,NRC/NRR",,Weber T N,"Arizona Public Service Co,APS",06/21/2012,05000530,"Letter,Licensee Event Report (LER)",LER 12-001-00,133.32 Kb
"LER Palo Verde, Unit 3 - Submittal of Special Report 3-SR-2010-001-00, Fuel Building Ventilation System High Range Radioactive Gaseous Effluent Monitor Inoperable.",ML103400085,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,11/22/2010,05000530,"Letter,Licensee Event Report (LER)",3-SR-2010-001-00,129.48 Kb
