Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
Insp Rpt-WNP-2-IR-00-011-Resident,ML003737573,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,08/02/2000,05000397,Inspection Report Correspondence,IR-00-011,74.66 Kb
"IR 05000397/2000-012; on 07/09-08/26/2000, WNP-2 facility.  Resident Report.  No findings identified.",ML003753859,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,09/22/2000,05000397,Inspection Report,IR-00-012,66.53 Kb
IR 05000397-00-13; on 8/27-10/7/2000; Energy Northwest; WNP-2 facility.  Integrated Resident and Regional Report; Personnel Performance during Nonroutine Plant Evolutions.  No findings identified.,ML003764171,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,10/27/2000,05000397,Inspection Report,IR-00-013,73.55 Kb
IR 05000397-00-301; on 10/23-27/2000; Energy Northwest; WNP-2 Initial Licensed Operator Examinations.,ML003772440,Energy Northwest,Parrish J V,Pellet J L,NRC/RGN-IV/DRS/OB,11/29/2000,05000397,Inspection Report Correspondence,IR-00-301,46.15 Kb
IR 05000397-00-14; on 10/8-11/18/2000; Energy Northwest; WNP-2 facility.  Resident Report; Adverse Weather; Operability Evaluations.,ML003777548,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,12/14/2000,05000397,Inspection Report,IR-00-014,70.39 Kb
"IR 05000397-00-16, on 11/13-11/17/2000, Energy Northwest.  WNP-2 annual baseline inspection of the identification and resolution of problems.",ML010110278,Energy Northwest,Parrish J V,Pellet J L,NRC/RGN-IV/DRS/OB,01/04/2001,05000397,"Inspection Report,Letter",IR-00-016,61.58 Kb
IR 05000397-00-15; on 11/19/2000-1/6/2001; Energy Northwest; Columbia Generating Station.  Integrated Resident and Regional Report.,ML010190483,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,01/19/2001,05000397,Inspection Report,IR-00-015,57.99 Kb
"IR 05000397-01-301, on 02/22/2001, Energy Northwest, Columbia Generating Station Licensed Operator Retake Examinations.",ML010790400,Energy Northwest,Parrish J V,Gody A T,NRC/RGN-IV/DRS/OB,03/10/2001,05000397,"Inspection Report,Letter,License-Operator Examination Report",IR-01-301,32.56 Kb
IR 05000397-01-02; on 1/7-3/31/2001; Energy Northwest; Columbia Generating Station.  Resident Report; Adverse Weather; Fire Protection; Surveillances.,ML011200111,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,04/27/2001,05000397,Inspection Report,IR-01-002,69.48 Kb
IR 05000397/2001003; on 4/1-6/23/2001; Energy Northwest; Columbia Generating Station.  Integrated Inspection Report; Refueling Outage; Surveillances; EAL & Emerg. Plan Chngs.; Access Control.,ML012010416,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP,07/20/2001,05000397,"Inspection Report,Inspection Report Correspondence",IR-01-003,196.85 Kb
"IR 05000397/2001-008, on 7/23-27/2001 (onsite) and 8/1 through 9/24/2001 (in-office), Energy Northwest, Columbia Generating Station.  Emergency action level and Emergency Plan changes. Violations noted.",ML012880417,Energy Northwest,Parrish J V,Howell A T,NRC/RGN-IV/DRS,10/15/2001,05000397,"Inspection Report,Inspection Report Correspondence",IR-01-008,115.62 Kb
"IR 05000397/2001-006, on 08/20-9/13/2001, Energy Northwest, Columbia Generating Station, safety system design and performance capability. Non-cited violation noted.",ML012950007,Energy Northwest,Parrish J V,Marschall C S,NRC/RGN-IV,10/19/2001,05000397,"Inspection Report,Inspection Report Correspondence",IR-01-006,143.99 Kb
"IR 05000397/2001-004; on 06/24-09/22, 2001; Energy Northwest; Columbia Generating Station.  Integrated Inspection Report; Refueling Outage; Problem Identification and Resolution; Crosscutting Issues. Non-cited violations noted.",ML012960150,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP,10/19/2001,05000397,"Inspection Report,Inspection Report Correspondence",IR-01-004,197.69 Kb
"IR 05000397/2001-007, Columbia Generating Station,  Baseline Inspection on 10/29/2001 - 11/08/2001 related to the identification and resolution of problems. No violations noted.",ML013600004,Energy Northwest,Parrish J V,Gody A T,NRC/RGN-IV/DNMS,12/21/2001,05000397,"Inspection Report,Letter",IR-01-007,109.56 Kb
"IR 05000397/2001-005, Energy Northwest, Columbia Generating Station, on 09/23 through 12/31/01, related to routine integrated report.  No violations  identified.",ML020180201,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,01/18/2002,05000397,Inspection Report,IR-01-005,160.69 Kb
"Energy Northwest, Columbia Generating Station, Feedwater Nozzle Inspection Report R-15 Maintenance and Refueling Outage.",ML020450146,"NRC/Document Control Desk,NRC/RGN-IV",,Coleman D W,Energy Northwest,12/20/2001,05000397,"Inspection Report,Letter",,173.92 Kb
IR 05000397/2001-009; on 12/30/2001-3/23/2002; Energy Northwest; Columbia Generating Station.  Integrated Inspection Report; Access Control. Noncited violations identified.,ML021140214,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,04/23/2002,05000397,"Inspection Report,Inspection Report Correspondence",IR-01-009,97.29 Kb
"IR 05000397/2002-005, on 2/15-4/25/2002 , Energy Northwest, Columbia Generating Station;  Special Team Inspection Report.  Design control, problem identification and resolution. Violation identified.",ML021430088,Energy Northwest,Parrish J V,Brockman K E,NRC/RGN-IV/DRP,05/22/2002,05000397,"Inspection Report,Inspection Report Correspondence",IR-02-005,217.46 Kb
"IR 05000397-02-005, on 05/02/2002, Columbia Generation Station, EA-02-107, Final Significance Determination for White Finding & Notice of Violation.",ML021750255,Energy Northwest,Parrish J V,Merschoff E W,NRC/RGN-IV,06/24/2002,05000397,"Inspection Report,Letter,Notice of Violation",IR-02-005,45.65 Kb
IR 05000397-02-002; on 3/24/2002-6/22/2002; Energy Northwest; Columbia Generating Station.  Integrated Inspection Report.,ML022000196,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,07/19/2002,05000397,"Inspection Report,Letter",IR-02-002,79.59 Kb
"IR 05000397-02-007, on 05/13 - 06/06/2002, Energy Northwest, Columbia Generating Station, Supplemental Inspection for a degraded emergency preparedness cornerstone from one Yellow inspection finding.",ML022000565,Energy Northwest,Parrish J V,Collins E E,NRC/RGN-IV/DRS,07/19/2002,05000397,"Inspection Report,Letter",IR-02-007,93.25 Kb
IR 05000397-02-003; on 6/23/2002-9/21/2002; Energy Northwest; Columbia Generating Station.  Integrated Inspection Report; Other.,ML022910134,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV,10/17/2002,05000397,"Inspection Report,Letter",IR-02-003,86.59 Kb
"INSPECTION DATE FOR TEMPORARY INSTRUCTION 2515/148, INSPECTION OF NUCLEAR REACTOR SAFEGUARDS INTERIM COMPENSATORY MEASURES -  COLUMBIA GENERATING STATION.",ML023360140,Energy Northwest,Parrish J V,Pruett T W,NRC/RGN-IV,12/02/2002,05000397,"Inspection Report,Letter",,25.81 Kb
"IR 05000397-02-006, on 12/2-12/10/2002, Energy Northwest, Columbia Generating Station, Supplemental Inspection for a White Finding and Baseline Inspection of the Identification and Resolution of Problems; Other.",ML030230794,Energy Northwest,Parrish J V,Gody A T,NRC/RGN-IV/DRS/OB,01/23/2003,05000397,"Inspection Report,Letter",IR-02-006,90.42 Kb
"IR 05000397-02-004, on 9/22/2002-12/28/2002, Energy Northwest; Columbia Generating Station.",ML030270209,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,01/24/2003,05000397,"Inspection Report,Letter",IR-02-004,93.88 Kb
"IR 05000397-03-003, On 03/03-07/2003, Columbia Generating Station, TI 2515/148, Verification of Compliance with Interim Compensatory Measures Order.",ML031060476,Energy Northwest,Parrish J V,Pruett T W,NRC/RGN-IV/DRS/PSB,04/14/2003,05000397,"Inspection Report,Letter",IR-03-003,34.22 Kb
"IR 05000397-03-002, On 03/10/2003 - 03/20/2003 and 03/31/2003 - 04/15/2003 Columbia Generating Station, Triennial Fire Protection Inspection.",ML031530506,Energy Northwest,Parrish J V,Marschall C S,NRC/RGN-IV,06/02/2003,05000397,"Inspection Report,Letter",IR-03-002,157.68 Kb
Columbia Generating Station - NRC Inspection Report 50-397/2003-08 Canceled.,ML031750865,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,06/24/2003,05000397,"Inspection Report,Inspection Report Correspondence",,41.86 Kb
"IR 05000397-03-005 on 03/23/2003 - 7/5/2003; Columbia Generating Station.  Integrated Inspection Report; Refueling and Other Outages, Surveillance Testing, Occupational Radiation Exposure, Problem Identification and Resolution, and Event Response.",ML032160331,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DNMS,08/04/2003,05000397,"Inspection Report,Letter",IR-03-005,135.05 Kb
"IR 05000397-96-018, on 11/18/1996 through 11/22/1996, for Washington Nuclear Project-2 Reactor Facility.",ML032300683,Washington Public Power Supply System,Parrish J V,Gwynn T P,NRC/RGN-IV,01/29/1997,05000397,"Inspection Report,Letter","IR-96-018,NUDOCS 9702030185",194.41 Kb
"IR 05000397-96-018, on 11/18/1996 through 11/22/1996, for Washington Nuclear Project-2 Reactor Facility, Notice of Violation.",ML032300687,Washington Public Power Supply System,,,NRC/RGN-IV,01/29/1997,05000397,"Inspection Report,Notice of Violation","IR-96-018,NUDOCS 9702030188",155.72 Kb
"IR 05000397-96-018, On 11/18/1996 Through 11/22/1996, for Washington Nuclear Project-2 Reactor Facility.",ML032300688,Washington Public Power Supply System,,,NRC/RGN-IV,01/29/1997,05000397,Inspection Report,"IR-96-018,NUDOCS 9702030189",1.54 Mb
IR 05000397-03-012; on 09/15-18/2003; Columbia Generating Station; Radioactive Material Processing and Transportation; Radioactive Material Control Program; Radiation Monitoring Instrumentation; Radiation Safety Team Inspection.,ML032890656,Energy Northwest,Parrish J V,Pruett T W,NRC/RGN-IV/DRS,10/16/2003,05000397,"Inspection Report,Letter",IR-03-012,89.22 Kb
"IR 05000397-03-006, on 07/06/03 to 10/04/03, Columbia Generating Station.",ML033090613,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,11/05/2003,05000397,"Inspection Report,Letter",IR-03-006,112.55 Kb
"IR 05000397-03-010, on 09/08/2003 through 10/10/2003; Columbia Generating Station; Plant Design Pilot, Enclosures 1 and 3.",ML033230185,Energy Northwest,Parrish J V,Marschall C S,NRC/RGN-IV/DRS/EMB,11/17/2003,05000397,"Inspection Report,Letter",IR-03-010,143.76 Kb
"IR 05000397-03-009, on 09/29-10/09/03, Energy Northwest, Columbia Generating Station, biennial baseline inspection of the identification and resolution of problems.",ML033290049,Energy Northwest,Parrish J V,Gody A T,NRC/RGN-IV/DRS/OB,11/24/2003,05000397,"Inspection Report,Letter",IR-03-009,110.81 Kb
"IR 05000397-03-007, on 10/05/03 through 12/31/03, Columbia Generating Station.",ML040300619,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP,01/30/2004,05000397,"Inspection Report,Letter",IR-03-007,109.69 Kb
"IR 05000397-03-013; on 12/8-27/2003; Columbia Generating Station; Security Review of Access Control, Response to Contingency Events, Performance Indicators, Access Authorization, and Corrective Actions.",ML040360282,Energy Northwest,Parrish J V,Pruett T W,NRC/RGN-IV/DRS/PSB,01/29/2004,05000397,"Inspection Report,Letter",IR-03-013,45.69 Kb
"IR 05000397-04-007, on 03/30/04 & 03/31/04, for Columbia Generating Station, Richland, WA; ISFSI Report.",ML041140435,Energy Northwest,Parrish J V,Spitzberg D B,NRC/RGN-IV/DNMS/FCDB,04/23/2004,"05000397,07200035","Inspection Report,Letter",IR-04-007,99.3 Kb
"IR 05000397-04-002 on 1/1/2004 - 3/24/2004 for Columbia Generating Station.  Equipment Alignments, Operability Evaluations, Surveillance Testing, and Other.",ML041250481,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,05/04/2004,05000397,"Inspection Report,Letter",IR-04-002,118.01 Kb
Ongoing Review of Columbia Generating Station - NRC Integrated IR 05000397-03-007. Denied Noncited Violation (50-397/03-07-01).,ML041420517,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,05/21/2004,05000397,Inspection Report Correspondence,,44.7 Kb
"IR 05000397-03-011, - Columbia Generating Station - No report to be issued.",ML041760245,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,06/24/2004,05000397,"Inspection Report,Letter",IR-03-011,42.15 Kb
IR 05000397-04-004; 6/24/2004 - 9/23/2004; Columbia Generating Station.  Surveillance Testing and Event Followup.,ML043100605,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP,11/05/2004,05000397,"Inspection Report,Letter",IR-04-004,711.18 Kb
IR 05000397-04-004 Errata for Columbia Generating Station - NRC Integrated Inspection Report.,ML050210016,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,01/20/2005,05000397,"Inspection Report,Letter",IR-04-004,557.24 Kb
"IR 05000397-04-005 on 12/31/2004 for Columbia Generating Station, Adverse Weather Protection, Personnel Performance During Nonroutine Evolutions, Surveillance Testing and Other.",ML050450597,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRP/RPB-E,02/14/2005,05000397,"Inspection Report,Letter",IR-04-005,724.75 Kb
Annual Assessment Letter - Columbia Generating Station (IR 05000397-05-001).,ML050610220,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-III/DRP,03/02/2005,05000397,"Inspection Plan,Inspection Report Correspondence",IR-05-001,175.7 Kb
"IR 05000397-04-002; ERRATA 1/1/2004 - 3/24/2004; Columbia Generating Station.  Equipment Alignments, Operability Evaluations, Surveillance Testing, Emergency Action Level and Emergency Plan Changes and Other.",ML050620266,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DNMS,03/02/2005,05000397,"Inspection Report,Letter",IR-04-002,679.48 Kb
"IR 05000397-05-008,on 3/14/05 - 4/27/05; Columbia Generating Station; biennial baseline inspection of the identification and resolution of problems.",ML051610699,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRS,06/10/2005,05000397,"Inspection Report,Letter,Safety and Compliance Inspection Record, NRC Form 591",IR-05-008,624.18 Kb
"IR 05000397-05-003 on 3/25/2005 - 6/23/2005 for Columbia Generating Station.  Operator Workarounds, Access Control to Radiological Significant Areas, and Event Followup.",ML052140627,Energy Northwest,Parrish J V,Farnholtz T R,NRC/RGN-IV/DRP/RPB-A,08/02/2005,05000397,"Inspection Report,Letter",IR-05-003,689.29 Kb
IR 05000397-05-011; on 07/26-28/05; Columbia Generating Station; Radiation Safety Team.,ML052380243,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,08/25/2005,05000397,"Inspection Report,Letter",IR-05-011,583.23 Kb
"IR 05000397-05-004 on 06/24/05 - 09/23/05; Columbia Generating Station; Post Maintenance Testing, Other Activities.",ML053110531,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/07/2005,05000397,"Inspection Report,Letter",IR-05-004,760.3 Kb
"IR 05000397-05-009, on 10/3-21/2005; Columbia Generating Stations; Evaluation of Changes, Tests, and Experiments; and Safety System Design and Performance Capability.",ML053330478,Energy Northwest,Parrish J V,Chamberlain D D,NRC/RGN-IV/DRS,11/29/2005,05000397,"Inspection Report,Letter",IR-05-009,654.38 Kb
"IR 05000397-05-010, on 10/17-21/2005, Columbia Generating Station.",ML053340056,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/28/2005,05000397,"Inspection Report,Letter",IR-05-010,571.85 Kb
"IR 05000397-05-005, on 09/24-31/2005, Columbia Generating Station.",ML060440627,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,02/13/2006,05000397,"Inspection Report,Letter",IR-05-005,194.85 Kb
Columbia Generating Station - NRC Supplemental Inspection Report 05000397-06-009.,ML061030557,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,04/12/2006,05000397,"Inspection Report,Letter",IR-06-009,584.39 Kb
"IR-05000397-06-010, on 03/13/2006 - 03/23/2006; Columbia Generating Station. Inspection Procedure 95001 Supplemental Inspection.",ML061210473,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,04/26/2006,05000397,"Inspection Report,Letter",IR-06-010,574.7 Kb
"IR 05000397-06-002 on 1/1/06 - 3/31/06 for Columbia Generating Station; Operability Evaluations, Other Activities.",ML061320272,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,05/12/2006,05000397,"Inspection Report,Letter",IR-06-002,641.46 Kb
"IR 05000397-06-007; on 06/26-29/2006 for Columbia, Security Baseline Inspection.",ML062000341,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,07/19/2006,05000397,"Inspection Report,Inspection Report Correspondence,Letter",IR-06-007,476.22 Kb
"IR 05000397-06-003, on 04/01/2006 - 06/30/2006, Columbia; Other Activities.",ML062140638,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,07/22/2006,05000397,"Inspection Report,Letter",IR-06-003,577.25 Kb
IR 05000397-06-008; Entergy Northwest; 3/13/06 - 7/13/06; Columbia Generating Station; Fire Protection (Triennial).,ML062300334,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRS,08/18/2006,05000397,"Inspection Report,Letter",IR-06-008,591.48 Kb
Recharacterization of Licensee Identified Noncited Violation in NRC Inspection Report 05000397-06-002; Columbia Generating Station.,ML062420512,Energy Northwest,Parrish J V,Vegel A,NRC/RGN-IV/DNMS,08/30/2006,05000397,"Inspection Report,Letter",IR-06-002,474.76 Kb
Columbia Generating Station - NRC Inspection Report 05000397/2006401.,ML063110124,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/03/2006,05000397,"Inspection Report Correspondence,Letter",,141.76 Kb
IR 05000397-06-004; Energy Northwest; 7/1/2006 - 9/30/2006; Columbia Generating Station; Operability Evaluations; Other Activities,ML063180298,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/14/2006,05000397,"Inspection Report,Letter",IR-06-004,225.58 Kb
IR 05000397-06-005 for Columbia Generating Station.,ML070450252,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,02/13/2007,05000397,"Inspection Report,Letter",IR-06-005,238.07 Kb
"IR 05000397-07-002, on 01/01/2007 - 03/30/2007, Columbia Generating Station, Postmaintenance Testing, Surveillance Testing, Identification & Resolution of Problems, Other.",ML071340367,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,05/14/2007,05000397,"Inspection Report,Letter",IR-07-002,2.96 Mb
IR 05000397-07-401; 07/16/07 - 07/19/07; Columbia Generating Station; Security Baseline Inspection - Letter Only.,ML072211015,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,08/09/2007,05000397,"Inspection Report,Letter",IR-07-401,90.3 Kb
"IR 05000397-07-003, on 03/31/07 - 06/29/07, Columbia Generating Station, Inservice Inspection Activities, Operability Evaluations, Event Follow-Up, Other Activities.",ML072260616,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,08/13/2007,05000397,"Inspection Report,Letter",IR-07-003,284.66 Kb
"IR 05000397-07-402, on 08/27/2007 - 08/30/2007, Columbia Generating Station, Security Baseline Inspection - Letter Only.",ML072540478,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,09/11/2007,05000397,"Inspection Report Correspondence,Letter,Inspection Report",IR-07-402,90.53 Kb
"IR 05000397-07-007 on 07/09/2007 - 08/03/2007; Columbia Generating Station; NRC Inspection Procedure 71111.21, Component Design Basis Inspection.",ML072600321,Energy Northwest,Parrish J V,Jones W B,NRC/RGN-IV/DRS,09/14/2007,05000397,"Inspection Report,Letter","IR-06-011,IR-07-007",159.88 Kb
"IR 05000397-07-008, on 07/23/07 - 09/06/07; Columbia Generating Station; Radioactive Material Processing and Transportation.",ML072700379,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,09/27/2007,05000397,"Inspection Report,Letter",IR-07-008,153.96 Kb
IR 05000397-07-004; 06/30/2007 - 09/28/2007; Columbia Generating Station; Event Follow-up.,ML073180737,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/07/2007,05000397,"Inspection Report,Inspection Report Correspondence",IR-07-004,212.55 Kb
"IR 05000397-07-005; on 09/29/2007 - 12/31/2007; Columbia Generating Station; Equipment Alignments, Operability Evaluations, Access Control to Radiologically Significant Areas, ALARA Planning and Controls, Other Activities.",ML080430365,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,02/11/2008,05000397,"Inspection Report,Letter",IR-07-005,278.68 Kb
"IR 05000397-07-501, on 12/31/2007 and 01/01/2007, Columbia Generating Station - NRC Emergency Preparedness Annual Inspection.",ML080530183,Energy Northwest,Parrish J V,Lantz R E,NRC/RGN-IV/DRS/OB,02/21/2008,05000397,"Letter,Inspection Report",IR-07-501,98.67 Kb
"IR 05000397-08-401, on 04/10/2008, Columbia Generating Station, NRC Security. Cover Letter.",ML081230576,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB,05/02/2008,05000397,"Letter,Inspection Report",IR-08-401,91.47 Kb
"IR 05000397-08-002, on 01/01/2008 - 03/31/2008, Columbia, Equipment Alignment, Operability Evaluations, Event Followup.",ML081330352,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,05/09/2008,05000397,"Inspection Report,Letter",IR-08-002,244.34 Kb
IR 05000397-08-007; 07200035-08-001 on 04/14/08 - 05/19/08 for Columbia Generating Station and Notice of Violation.,ML081690841,Energy Northwest,Parrish J V,Spitzberg D B,NRC/RGN-IV/DNMS,06/17/2008,"05000397,07200035","Inspection Report,Letter,Notice of Violation",IR-08-007,185.38 Kb
Response to NRC Inspection Report No. 050-397-08-007; 072-035-08-001 and Notice of Violation.,ML082190553,Energy Northwest,Parrish J V,Spitzberg D B,NRC/RGN-IV/DNMS/RSFSB,08/06/2008,"05000397,07200035","Inspection Report Correspondence,Letter",,117.75 Kb
"IR 05000397-08-005, December 2-11, 2008, Columbia Generating Station, Notification of Inspection and Request for Information.",ML082910484,Energy Northwest,Parrish J V,Bywater R L,NRC/RGN-IV/DRS/EB1,10/17/2008,05000397,"Inspection Report Correspondence,Letter",IR-08-005,123.26 Kb
"IR 05000397-08-004; on 07/01/2008 - 09/30/2008; Columbia Generating Station; Maintenance Effectiveness, Access Control to Radiological Significant Areas, Event Followup and Other Activities.",ML083120292,Energy Northwest,Parrish J V,Johnson C E,NRC/RGN-IV/DRP/RPB-A,11/07/2008,05000397,"Inspection Report,Letter",IR-08-004,274.07 Kb
IR 05000397-08-005; 10/01/2008 - 12/31/2008; Columbia Generating Station; Maintenance Effectiveness; Other.,ML090420535,Energy Northwest,Parrish J V,Replogle G D,NRC/RGN-IV/DRP/RPB-A,02/11/2009,05000397,"Inspection Report,Letter",IR-08-005,261.4 Kb
IR 05000397-09-002 Columbia Generating Station Inspection Report 01/01 - 03/28/2009.,ML091200761,Energy Northwest,Parrish J V,Walker W C,NRC/RGN-IV/DRP/RPB-A,04/30/2009,05000397,"Inspection Report,Letter",IR-09-002,240.7 Kb
"IR 05000397-09-006, on 07/01/2009, Columbia Generating Station - Notification of NRC Triennial Fire Protection Baseline Inspection.",ML091820702,Energy Northwest,Parrish J V,O'Keefe N F,NRC/RGN-IV/DRS/EB-2,07/01/2009,05000397,"Letter,Inspection Report",IR-09-006,129.15 Kb
"IR 05000397-09-402, on 06/12/2009, Columbia Generating Station-NRC Security Inspection",ML091950410,Energy Northwest,Parrish J V,Shannon M P,NRC/RGN-IV/DRS/PSB-1,07/13/2009,05000397,"Inspection Report,Letter",IR-09-402,97.76 Kb
IR 05000397-09-003 on 03/29/2009 - 06/27/2009; Columbia Generating Station; Integrated Resident and Regional Report; Access Control to Radiologically Significant Areas; Identification and Resolution of Problems.,ML092220243,Energy Northwest,Parrish J V,Walker W C,NRC/RGN-IV/DRP/RPB-A,08/10/2009,05000397,"Inspection Report,Letter",IR-09-003,280.31 Kb
IR 05000397-09-009 on 07/20/09 - 09/01/09 for Columbia Generating Station.,ML092600874,Energy Northwest,Parrish J V,Werner G E,NRC/RGN-IV/DRS/PSB-2,09/15/2009,05000397,"Inspection Report,Letter",IR-09-009,173.04 Kb
"IR 05000397-02-008, 07200035-02-008, On 06/04/2002, 06/25-27/2002, 07/15-19/2002, 08/14-16/2002, 09/11-12/2002, 09/03-06/2002, & 09/13-20/2002, Columbia Generating Station.",ML092950251,Energy Northwest,Parrish J V,Chamberlain D D,NRC/RGN-IV/DNMS,11/01/2002,"05000397,07200035","Inspection Report,Letter",IR-02-001,5.03 Mb
