Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
"LER 12-001-00, for Comanche Peak, Unit 1, Regarding Unanalyzed Condition Discovered for the Normally Open Battery Room Fire and Cable Spread Room Doors Close on Momentary Loss of Power.",ML12128A427,"NRC/Document Control Desk,NRC/NRR",,Madden F W,"Luminant Generation Co, LLC,Luminant Power",05/15/2012 08:41 AM EDT,04/30/2012,"05000445,05000446","Letter,Licensee Event Report (LER)",442.99 Kb
"LER 12-002-00, for Comanche Peak, Regarding Failure of Safety Related Breaker Control Devices Due to a Common Cause.",ML12240A050,"NRC/Document Control Desk,NRC/NRR",,Madden F W,"Luminant Generation Co, LLC,Luminant Power",09/05/2012 07:54 AM EDT,08/16/2012,"05000445,05000446","Letter,Licensee Event Report (LER)",470.53 Kb
"LER 12-003-00 for Comanche Peak Nuclear Plant, Unit 1 Regarding Manual Reactor Trip Due to Reactor Coolant Pump Low Oil Level.",ML13009A104,"NRC/Document Control Desk,NRC/NRR",,Madden F W,Luminant Power,02/12/2013 11:29 AM EST,12/19/2012,05000445,"Letter,Licensee Event Report (LER)",326.95 Kb
"LER 11-001-01 for Comanche Peak Nuclear Power Plant, Units 1 & 2, Potential For Steam Voiding Causing Residual Heat Removal System Inoperability.",ML13042A410,"NRC/Document Control Desk,NRC/NRR",,"Madden F W,Flores R","Luminant Generation Co, LLC,Luminant Power",02/20/2013 08:48 AM EST,01/30/2013,"05000445,05000446","Letter,Licensee Event Report (LER)",336.58 Kb
"LER 13-001-00 for Comanche Peak Nuclear Power, Unit 1 Regarding Inoperability of Unit Emergency Airlock Exterior Door.",ML13079A331,NRC/NRR,,"Madden F W,Flores R","Luminant Power,Luminant Generation Co, LLC",03/28/2013 08:44 AM EDT,03/07/2013,05000445,"Letter,Licensee Event Report (LER)",305.61 Kb
"LER 13-002-00 for Comanche Peak Nuclear Power Plant, Units 1 & 2 Regarding Unanalyzed Condition Under 10CFR50 Appendix R, Secondary Fires from Unprotected Ammeter Wiring.",ML14008A201,"NRC/Document Control Desk,NRC/NRR",,"Flores R,McCool T P","Luminant Generation Co, LLC,Luminant Power",06/16/2014 02:14 PM EDT,12/09/2013,"05000445,05000446","Letter,Licensee Event Report (LER)",385.01 Kb
"LER 13-003-00 for Comanche Peak, Units 1 and 2 Regarding Auto Start of Both Units' Auxiliary Feedwater Pumps and Emergency Diesel Generators Due to a Loss of Both Units' Safeguards Electrical Power.",ML14043A089,"NRC/Document Control Desk,NRC/NRR",,"Flores R,McCool T P","Luminant Generation Co, LLC,Luminant Power",02/21/2014 08:32 AM EST,01/30/2014,"05000445,05000446","Letter,Licensee Event Report (LER)",361.23 Kb
"LER 14-001-00 for Comanche Peak, Unit 1, Regarding Automatic Reactor Trip Due to Generator Lockout Relay Trip.",ML14087A005,"NRC/Document Control Desk,NRC/NRR",,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",04/07/2014 08:45 AM EDT,03/19/2014,05000445,"Letter,Licensee Event Report (LER)",269.38 Kb
LER 14-002-00 for Comanche Peak Regarding Non-Compliance With Pressure-Temperature Limits Report During RCS Vacuum Fill.,ML14101A364,NRC/Document Control Desk,,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",04/21/2014 08:44 AM EDT,04/03/2014,"05000445,05000446","Letter,Licensee Event Report (LER)",331.62 Kb
"LER 14-003-00 for Comanche Peak, Regarding Safety Chiller Inoperable for Longer Than Allowed by Technical Specifications.",ML15035A064,"NRC/Document Control Desk,NRC/NRR",,Flores R,"Luminant Generation Co, LLC,Luminant Power",02/12/2015 08:53 AM EST,01/19/2015,05000445,"Letter,Licensee Event Report (LER)",344.73 Kb
