Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 14-003-00 for Grand Gulf Nuclear Station, Unit 1, Regarding Automatic Actuation of the Reactor Protection System due to Load Reject Relay Fault.",ML14148A047,"NRC/Document Control Desk,NRC/NRR",,Nadeau J J,"Entergy Operations, Inc",05/28/2014,05000416,"Letter,Licensee Event Report (LER)",LER 14-003-00,418.37 Kb
"LER 13-001-00 for Grand Gulf, Unit 1 Regarding Reactor Protection System Actuation Due to a Main Turbine Generator Trip.",ML13064A371,"NRC/NRR,NRC/Document Control Desk",,Perino C L,"Entergy Operations, Inc",03/04/2013,05000416,"Letter,Licensee Event Report (LER)",LER 13-001-00,385.15 Kb
"LER 13-002-00 for Grand Gulf, Unit 1 Regarding Reactor Protection System Actuation Due to a Turbine Trip.",ML13077A056,"NRC/NRR,NRC/Document Control Desk",,Perino C L,"Entergy Operations, Inc",03/15/2013,05000416,"Letter,Licensee Event Report (LER)",LER 13-002-00,371.23 Kb
"LER 12-002-00 for Grand Gulf, Unit 1, Regarding Manual Reactor Scram Due to a Steam Supply Motor Operated Valve Failure that Resulted in the Inability to Maintain Reactor Water Level.",ML12111A017,"NRC/NRR,NRC/Document Control Desk",,Richey M L,"Entergy Operations, Inc",04/19/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-002-00,369.29 Kb
"LER 13-005-001 for Grand Gulf, Unit 1 Regarding Reactor Pressure Vessel Steam Pressure Less than 0 psig during Six Plant Startups Resulting in a Violation of Technical Specification 3.4.11, RCS Pressure and Temperature (PIT) Limits.",ML14280A280,"NRC/Document Control Desk,NRC/NRR",,Coutu T,"Entergy Operations, Inc",10/07/2014,05000416,"Letter,Licensee Event Report (LER)",LER 13-005-001,352.3 Kb
"LER 12-005-00 for Grand Gulf Nuclear Station, Unit 1 Regarding Average Power Range Monitors Inoperable in Excess of Technical Specification Allowances in Mode 2.",ML12227A712,"NRC/NRR,NRC/Document Control Desk",,Richey M L,"Entergy Operations, Inc",08/13/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-005-00,332.36 Kb
"LER 13-005-00 for Grand Gulf, Unit 1, Regarding Reactor Pressure Vessel Pressure Less than 0 psig during Six Plant Startups Resulting in a Violation of Technical Specification 3.4.11, RCS Pressure and Temperature (Pff) Limits.",ML14037A459,"NRC/Document Control Desk,NRC/NRR",,Coutu T,"Entergy Operations, Inc",02/05/2014,05000416,"Letter,Licensee Event Report (LER)",LER 13-005-00,327.75 Kb
"LER 12-006-00 for Grand Gulf Nuclear Station, Unit 1, Regarding Special Nuclear Material Inventory Discrepancy.",ML12236A406,"NRC/Document Control Desk,NRC/NRR",,Perino C L,"Entergy Operations, Inc",08/23/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-006-00,318.8 Kb
"LER 12-007-00 for Grand Gulf, Unit 1, Regarding Standby Service Water System Administratively Inoperable For A Period Longer Than Allowed By Technical Specifications.",ML12261A125,"NRC/Document Control Desk,NRC/NRR",,Perino C L,"Entergy Operations, Inc",09/14/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-007-00,310.72 Kb
"LER 12-003-00 for Grand Gulf Nuclear Station, Unit 1, Regarding ESF Actuation Due to Division III Bus Undervoltage Following a Lightning Strike.",ML12150A183,"NRC/Document Control Desk,NRC/NRR",,Richey M L,"Entergy Operations, Inc",05/29/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-003-00,278.95 Kb
"Attachment 9 to GNRO-2012/00039 - Entergy Nuclear Grand Gulf Nuclear Station License Renewal Environmental Audit - Hydrology Patton - Attachment L Labeled ""Reporting Documentation - Unit 2 Sumps.""",ML12157A182,NRC/NRR,,,"Entergy Operations, Inc",05/23/2012,05000416,Licensee Event Report (LER),,248.96 Kb
"Grand Gulf Nuclear Station, Unit 1, Report Pursuant to 10 CFR 71.95 (a)(3) and (b) of seven potential instances of noncompliance with Certificate of Compliance No. 9233 for TN-RAM Package, Revision 11.",ML14212A109,"NRC/Document Control Desk,NRC/NMSS",,Nadeau J J,"Entergy Operations, Inc",07/31/2014,"05000416,07109233","Letter,Licensee Event Report (LER)",,148.06 Kb
